,Name,Price,Location,Rating,Sold
11,,Rp10.150.000,Jakarta Barat,5.0,7 terjual
175,,Rp3.299.999,Jakarta Utara,5.0,17 terjual
194,,Rp12.950.000,Jakarta Barat,5.0,6 terjual
247,,Rp9.750.000,Jakarta Barat,,2 terjual
254,,Rp4.100.000,Jakarta Selatan,,
259,,Rp800.000,Bandung,4.8,100+ terjual
282,,Rp3.762.000,Yogyakarta,5.0,5 terjual
300,,Rp3.762.000,Yogyakarta,5.0,5 terjual
338,,Rp7.650.000,Bandung,5.0,10 terjual
349,,Rp1.600.000,Jakarta Pusat,4.3,10 terjual
353,,Rp4.249.999,Jakarta Barat,5.0,100+ terjual
368,,Rp7.199.000,Jakarta Timur,4.7,40+ terjual
372,,Rp4.000.000,Jakarta Barat,,
378,,Rp900.000,Jakarta Barat,,
382,,Rp4.890.000,Jakarta Barat,5.0,5 terjual
386,,Rp2.789.999,Jakarta Utara,4.8,500+ terjual
390,,Rp3.850.000,Jakarta Barat,4.0,3 terjual
435,,Rp500.000,Kab. Bekasi,4.5,50+ terjual
436,,Rp15.699.000,Tangerang,5.0,40+ terjual
459,,Rp9.500.000,Jakarta Barat,,
477,,Rp7.650.000,Bandung,5.0,10 terjual
500,,Rp200.000,Jakarta Pusat,4.8,3rb+ terjual
583,,Rp16.800.000,Jakarta Barat,,
585,,Rp1.400.000,Kab. Bekasi,4.5,11 terjual
651,,Rp650.000,Kab. Bekasi,4.4,26 terjual
661,,Rp1.600.000,Jakarta Utara,4.9,20 terjual
727,,Rp2.950.000,Jakarta Barat,5.0,9 terjual
812,,Rp4.819.000,Jakarta Utara,5.0,10 terjual
854,,Rp900.000,Jakarta Utara,4.7,500+ terjual
886,,Rp1.000.000,Kab. Bekasi,4.5,30+ terjual
918,,Rp11.900.000,Jakarta Barat,5.0,2 terjual
1008,,Rp8.450.000,Jakarta Barat,5.0,3 terjual
